brand,product,name,specific,lightness,hex,lightToDark,numbers,id
Makeup Revolution,Conceal & Hydrate Foundation,,F1,0.809803921568627,#E6CBB7,True,1.0,27.0
Makeup Revolution,Conceal & Define Full Coverage Foundation,,F1,0.835294117647059,#F3D4B7,True,1.0,1.0
Makeup Revolution,Conceal & Glow Foundation,,F1,0.815686274509804,#EDCCB3,True,1.0,28.0
Pacifica,Alight Clean Foundation,Cool Deep,01CD,0.313725490196078,#7C4024,False,1.0,29.0
jane iredale,Beyond Matte Liquid Foundation,,M1,0.817647058823529,#FCCDA5,True,1.0,30.0
Clinique,Beyond Perfecting Foundation + Concealer,Flax,WN 01,0.896078431372549,#EFE3DA,,1.0,
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,,1.0,0.743137254901961,#DEC09D,True,1.0,15.0
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,Fair,01,0.837254901960784,#FBCDB0,True,1.0,16.0
Physicians Formula,The Healthy Foundation SPF 20,,DpC1,0.376470588235294,#92572E,True,1.0,31.0
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,Fair,01,0.831372549019608,#FBCDAD,True,1.0,32.0
LORAC,PRO Soft Focus Longwear Foundation,,01,0.8,#E8CDB0,True,1.0,33.0
HOURGLASS,Veil Fluid Makeup,Ivory,No. 1,0.758823529411765,#E8B89B,True,1.0,2.0
ILIA,Super Serum Skin Tint SPF 40 Foundation,Rendevous,1,0.907843137254902,#FEE4D1,True,1.0,34.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Cool,1.00,0.943137254901961,#FCF0E5,True,1.0,35.0
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,Opal,01,0.847058823529412,#ECD0C4,True,1.0,36.0
bareMinerals,BAREPRO Longwear Powder Foundation ,Fair,01,0.866666666666667,#F6D8C4,True,1.0,17.0
PAT McGRATH LABS,Sublime Perfection Foundation,Light,1,0.923529411764706,#FCE7DB,True,1.0,37.0
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,Fair,01,0.870588235294118,#F1DFCB,True,1.0,18.0
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,Fair,01,0.707843137254902,#CEB29B,True,1.0,38.0
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,Driftwood,1,0.794117647058823,#E8C6AD,True,1.0,39.0
Laura Mercier,Smooth Finish Foundation Powder,,1,0.792156862745098,#FCCD98,True,1.0,40.0
Kosas,Tinted Face Oil Foundation,Tone,01,0.868627450980392,#F1DECA,True,1.0,41.0
Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,,1,0.754901960784314,#E3B39E,True,1.0,42.0
Charlotte Tilbury,Light Wonder Foundation,Fair,1,0.856862745098039,#EBD8CA,True,1.0,43.0
Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,,01N,0.713725490196078,#D6AB96,True,1.0,44.0
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,Opal,01,0.82156862745098,#F0C8B3,True,1.0,45.0
Charlotte Tilbury,Magic Foundation,,1,0.786274509803922,#E1C6B0,True,1.0,6.0
SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Lace Sephora Quality Way-Nice Price,1,0.886274509803922,#EFDED5,True,1.0,46.0
La Mer,The Luminous Lifting Cushion Foundation SPF 20 + Refill,Pink Porcelain,01,0.805882352941176,#F0C4AB,True,1.0,47.0
Bobbi Brown,Skin Weightless Powder Foundation,Warm Ivory,1,0.829411764705882,#F2CEB5,True,1.0,7.0
KEVYN AUCOIN,Foundation Balm,Light EF,01,0.835294117647059,#F7D1B3,True,1.0,48.0
NUDESTIX,Nudies Tinted Blur Stick,Light,1,0.790196078431373,#E6BEAD,True,1.0,49.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,1,0.719607843137255,#D4A69B,True,1.0,12.0
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,,N01,0.77843137254902,#E0C3AD,True,1.0,8.0
SEPHORA COLLECTION,Clean Glowing Skin Foundation,,1,0.798039215686275,#ECCCAB,True,1.0,50.0
Armani Beauty,Crema Nuda Supreme Glow Reviving Tinted Moisturizer,Nude Glow,1,0.658823529411765,#CC9484,True,1.0,51.0
KEVYN AUCOIN,The Etherealist Foundation,Light EF,01,0.743137254901961,#D6B4A5,True,1.0,52.0
surratt beauty,Surreal Skin Foundation Wand,Surreal Skin,1,0.817647058823529,#F5CFAC,True,1.0,53.0
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,01,0.707843137254902,#CEB29B,True,1.0,54.0
KEVYN AUCOIN,Stripped Nude Skin Tint,ST,01,0.876470588235294,#FCDBC3,True,1.0,55.0
Benefit Cosmetics,Mini Hello Happy Flawless Brightening Foundation SPF 15,,1,0.874509803921569,#FAD4C4,True,1.0,56.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,1.05,0.688235294117647,#DFAE80,True,1.05,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,1.05,0.819607843137255,#F1D1B1,True,1.05,10.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,1.05,0.717647058823529,#DAB694,True,1.05,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,1.1,0.645098039215686,#D1A378,True,1.1,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,1.1,0.798039215686275,#F0CBA7,True,1.1,10.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Neutral,1.10,0.917647058823529,#FCEDD8,True,1.1,35.0
TOM FORD,Traceless Soft Matte Foundation,Warm Sand,1.1,0.794117647058823,#E2D0B3,True,1.1,3.0
TOM FORD,Traceless Foundation Stick,Warm Sand,1.1,0.66078431372549,#D3AA7E,True,1.1,5.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,1.1,0.813725490196078,#E0CDBF,True,1.1,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,1.15,0.690196078431373,#E3AA7D,True,1.15,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,1.15,0.8,#F6C6A2,True,1.15,10.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,1.15,0.698039215686274,#D0A594,True,1.15,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,1.2,0.680392156862745,#E0A77B,True,1.2,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,1.2,0.823529411764706,#FCD3A8,True,1.2,10.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Cool,1.20,0.911764705882353,#FBE6D6,True,1.2,35.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,1.2,0.729411764705882,#D5B49F,True,1.2,12.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Warm,1.30,0.858823529411765,#F5DBC1,True,1.3,35.0
TOM FORD,Traceless Soft Matte Foundation,Nude Ivory,1.3,0.784313725490196,#E2C8AE,True,1.3,3.0
TOM FORD,Traceless Foundation Stick,Nude Ivory,1.3,0.67843137254902,#D7A683,True,1.3,5.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Neutral,1.40,0.805882352941176,#ECCCAF,True,1.4,35.0
TOM FORD,Traceless Soft Matte Foundation,Bone,1.4,0.774509803921569,#E2CCA9,True,1.4,3.0
TOM FORD,Traceless Foundation Stick,Bone,1.4,0.670588235294118,#D2A884,True,1.4,5.0
NUDESTIX,Tinted Cover Foundation,Nude,1.5,0.888235294117647,#F2DBD3,True,1.5,22.0
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,Birch,1.5,0.837254901960784,#FCD0AF,True,1.5,26.0
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,,1.5,0.729411764705882,#DAB69A,True,1.5,15.0
HOURGLASS,Veil Fluid Makeup,Nude,No. 1.5,0.798039215686275,#EEC5A9,True,1.5,2.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Cool,1.50,0.796078431372549,#F0C3A6,True,1.5,35.0
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,Birch,1.5,0.837254901960784,#F5D4B6,True,1.5,36.0
TOM FORD,Traceless Soft Matte Foundation,Cream,1.5,0.784313725490196,#E3C9AD,True,1.5,3.0
Armani Beauty,Neo Nude Foundation,,1.5,0.82156862745098,#F3CFB0,True,1.5,4.0
Charlotte Tilbury,Light Wonder Foundation,,1.5,0.817647058823529,#EAD0B7,True,1.5,43.0
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,Birch,1.5,0.790196078431373,#F4C99F,True,1.5,45.0
TOM FORD,Traceless Foundation Stick,Cream,1.5,0.747058823529412,#EBAE92,True,1.5,5.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Warm,1.60,0.784313725490196,#EEC5A2,True,1.6,35.0
Benefit Cosmetics,Hello Happy Air Stick Foundation SPF 20,,Shade 2,0.782352941176471,#F1CB9E,True,2.0,19.0
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,Light Warm,Shade 2,0.835294117647059,#F7D3B3,True,2.0,20.0
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,Light Neutral,Shade 2,0.819607843137255,#EDD2B5,True,2.0,21.0
KVD Vegan Beauty,True Portrait Medium Coverage Shake Foundation,Light,002,0.927450980392157,#FEE7DB,True,2.0,57.0
NUDESTIX,Tinted Cover Foundation,Nude,2,0.817647058823529,#E8C5B9,True,2.0,22.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.0,0.66078431372549,#DEA973,True,2.0,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2,0.815686274509804,#FCCCA4,True,2.0,10.0
Catrice,True Skin Hydrating Foundation,Neutral Ivory,002,0.762745098039216,#EEBF97,True,2.0,58.0
bareMinerals,Matte Foundation Broad Spectrum SPF 15,Fair Ivory,02,0.831372549019608,#FCCCAC,True,2.0,23.0
Makeup Revolution,Fast Base Stick Foundation,,F2,0.750980392156863,#E0C79F,True,2.0,24.0
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,Fair Ivory,02,0.831372549019608,#FCCCAC,True,2.0,25.0
bareMinerals,BAREPRO Performance Wear Powder Foundation,Ivory,2,0.837254901960784,#FDCFAE,True,2.0,14.0
Clinique,Almost Powder Makeup,Neutral Fair,02,0.950980392156863,#F4F3F1,,2.0,
Clinique,Beyond Perfecting Powder Foundation + Concealer,Alabaster,02,0.719607843137255,#E3B58C,,2.0,
bareMinerals,Complexion Rescue Hydrating Foundation Stick Broad Spectrum SPF 25,Vanilla,02,0.747058823529412,#EEB38F,True,2.0,26.0
Makeup Revolution,Conceal & Hydrate Foundation,,F2,0.807843137254902,#E9CAB3,True,2.0,27.0
Makeup Revolution,Conceal & Define Full Coverage Foundation,,F2,0.82156862745098,#F4D2AF,True,2.0,1.0
Makeup Revolution,Conceal & Glow Foundation,,F2,0.825490196078431,#F1CDB4,True,2.0,28.0
Pacifica,Alight Clean Foundation,Neutral Deep,02ND,0.331372549019608,#834626,False,2.0,29.0
jane iredale,Beyond Matte Liquid Foundation,,M2,0.754901960784314,#F1B990,True,2.0,30.0
Clinique,Beyond Perfecting Foundation + Concealer,Breeze,CN 02,0.917647058823529,#FEEAD6,,2.0,
Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,,2.0,0.756862745098039,#E5BD9D,True,2.0,15.0
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,Ivory,2,0.837254901960784,#FDCFAE,True,2.0,16.0
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,Breeze,CN 02,0.801960784313726,#F1C5A8,,2.0,
Physicians Formula,The Healthy Foundation SPF 20,,DpW2,0.290196078431373,#704324,True,2.0,31.0
bareMinerals,ORIGINAL Liquid Mineral Foundation Broad Spectrum SPF 20,Fair Ivory,02,0.807843137254902,#FDCB9F,True,2.0,32.0
LORAC,PRO Soft Focus Longwear Foundation,,02,0.707843137254902,#D6B093,True,2.0,33.0
HOURGLASS,Veil Fluid Makeup,Light Beige,No. 2,0.723529411764706,#E2B08F,True,2.0,2.0
Catrice,HD Liquid Coverage Foundation,Porcelain Beige,002,0.758823529411765,#E6C39D,True,2.0,59.0
ILIA,Super Serum Skin Tint SPF 40 Foundation,Tulum,2,0.86078431372549,#F3D8C4,True,2.0,34.0
bareMinerals,COMPLEXION RESCUE™ Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,Vanilla,02,0.774509803921569,#DCBBAF,True,2.0,36.0
SEPHORA COLLECTION,Matte Perfection Powder Foundation,Porcelain Neutral,02,0.805882352941176,#E3C6B8,True,2.0,60.0
bareMinerals,BAREPRO Longwear Powder Foundation ,Ivory,02,0.872549019607843,#FDD9C0,True,2.0,17.0
PAT McGRATH LABS,Sublime Perfection Foundation,Light,2,0.884313725490196,#F6DCCD,True,2.0,37.0
bareMinerals,BarePRO™ 24 hour Longwear Liquid Foundation with Mineral SPF 20 ,Ivory,02,0.880392156862745,#FDDDC4,True,2.0,18.0
bareMinerals,Matte Loose Powder Mineral Foundation SPF 15 ,Fair Ivory,02,0.664705882352941,#D09B83,True,2.0,38.0
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,Birch,2,0.794117647058823,#E4C3B1,True,2.0,39.0
Laura Mercier,Smooth Finish Foundation Powder,,2,0.841176470588235,#F9D0B4,True,2.0,40.0
Kosas,Tinted Face Oil Foundation,Tone,02,0.852941176470588,#F3D8C0,True,2.0,41.0
TOM FORD,Traceless Soft Matte Foundation,Buff,2.0,0.782352941176471,#E3C7AC,True,2.0,3.0
Armani Beauty,Neo Nude Foundation,,2,0.792156862745098,#ECC5A8,True,2.0,4.0
Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,,2,0.696078431372549,#D1AE92,True,2.0,42.0
Charlotte Tilbury,Light Wonder Foundation,Fair,2,0.788235294117647,#E0C5B2,True,2.0,43.0
Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,,02C,0.676470588235294,#D0A289,True,2.0,44.0
bareMinerals,COMPLEXION RESCUE™ Hydrating Foundation Stick with Mineral SPF 25 ,Vanilla,02,0.782352941176471,#EFC3A0,True,2.0,45.0
TOM FORD,Traceless Foundation Stick,Buff,2.0,0.784313725490196,#F3C29D,True,2.0,5.0
Charlotte Tilbury,Magic Foundation,,2,0.782352941176471,#DEC2B1,True,2.0,6.0
SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Silk Sephora Quality Way-Nice Price,2,0.870588235294118,#F5D6C7,True,2.0,46.0
Bobbi Brown,Skin Weightless Powder Foundation,Sand,2,0.768627450980392,#E7C3A1,True,2.0,7.0
Armani Beauty,Luminous Silk Compact Powder Foundation,,2,0.8,#E7C8B1,True,2.0,61.0
Armani Beauty,Designer Lift Smoothing Firming Full Coverage Foundation with SPF 20,,2,0.727450980392157,#E4B98F,True,2.0,62.0
KEVYN AUCOIN,Foundation Balm,Light EF,02,0.827450980392157,#F6D2B0,True,2.0,48.0
NUDESTIX,Nudies Tinted Blur Stick,Light,2,0.747058823529412,#E1B19C,True,2.0,49.0
Koh Gen Do,Aqua Foundation,,2,0.807843137254902,#EBC7B1,True,2.0,63.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2,0.733333333333333,#E7B48F,True,2.0,12.0
Givenchy,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,,N02,0.811764705882353,#E8C1B6,True,2.0,8.0
Armani Beauty,Crema Nuda Supreme Glow Reviving Tinted Moisturizer,Light Glow,2,0.633333333333333,#C88C7B,True,2.0,51.0
KEVYN AUCOIN,The Etherealist Foundation,Light EF,02,0.719607843137255,#D2B49D,True,2.0,52.0
surratt beauty,Surreal Skin Foundation Wand,Surreal Skin,2,0.790196078431373,#F2C3A1,True,2.0,53.0
bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,02,0.801960784313726,#ECCEAD,True,2.0,54.0
KEVYN AUCOIN,Stripped Nude Skin Tint,ST,02,0.82156862745098,#F2D3B1,True,2.0,55.0
Armani Beauty,Maestro Fusion Makeup SPF 15 Liquid Foundation,,2,0.7,#D8B28D,True,2.0,64.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.1,0.670588235294118,#DDA779,True,2.1,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.1,0.801960784313726,#FCC69D,True,2.1,10.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Cool,2.10,0.774509803921569,#E3C2A8,True,2.1,35.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.1,0.762745098039216,#DBC0AA,True,2.1,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.12,0.668627450980392,#DCA879,True,2.12,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.12,0.790196078431373,#F8C79B,True,2.12,10.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.12,0.668627450980392,#D9A27C,True,2.12,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.15,0.647058823529412,#D59E75,True,2.15,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.15,0.796078431372549,#F3C0A3,True,2.15,10.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.15,0.674509803921569,#C89E90,True,2.15,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.16,0.631372549019608,#D39D6F,True,2.16,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.16,0.794117647058823,#FCC599,True,2.16,10.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.16,0.686274509803922,#E0A27E,True,2.16,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.18,0.62156862745098,#CB9C72,True,2.18,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.18,0.780392156862745,#F6C298,True,2.18,10.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.18,0.666666666666667,#D79B7D,True,2.18,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.2,0.629411764705882,#D29E6F,True,2.2,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.2,0.764705882352941,#F9C28D,True,2.2,10.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Neutral/Olive,2.20,0.766666666666667,#ECC49B,True,2.2,35.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.2,0.72156862745098,#D4B59C,True,2.2,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.22,0.633333333333333,#D39F70,True,2.22,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.22,0.750980392156863,#F4C28B,True,2.22,10.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.22,0.664705882352941,#D7A07C,True,2.22,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.25,0.605882352941176,#CC9669,True,2.25,9.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.25,0.637254901960784,#C29483,True,2.25,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.3,0.617647058823529,#D19C6A,True,2.3,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.3,0.709803921568627,#EEB17C,True,2.3,10.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Warm,2.30,0.766666666666667,#ECC49B,True,2.3,35.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.3,0.698039215686274,#D0AD94,True,2.3,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.35,0.613725490196078,#CF9D6A,True,2.35,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.35,0.690196078431373,#ECAC74,True,2.35,10.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.35,0.656862745098039,#D69F79,True,2.35,12.0
Smashbox,Studio Skin 24 Hour Full Coverage Waterproof Foundation,,2.4,0.623529411764706,#D29D6C,True,2.4,9.0
Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,,2.4,0.690196078431373,#F0AB70,True,2.4,10.0
beautyblender,Bounce™ Liquid Whip Long Wear Foundation,Neutral/Olive,2.40,0.743137254901961,#E2C099,True,2.4,35.0
Smashbox,Primer + Foundation Customizable Set,Smashbox,2.4,0.688235294117647,#D0A98F,True,2.4,12.0
NUDESTIX,Tinted Cover Foundation,Nude,2.5,0.782352941176471,#E3BDAC,True,2.5,22.0
