id_numbers,marca,produto,nome_tom,tom_especifico,luminosidade,codigo_hex,numero_tom,tom_unificado,id_produto,id_produto_origem,grupo_de_tom
81,lancôme,skin feels good skin nourishing foundation,,01n,71.3725490196078,#d6ab96,1.0,01n,73,44.0,Médio / Medium
82,bareminerals,complexion rescue™ hydrating foundation stick with mineral spf 25,opal,01,82.156862745098,#f0c8b3,1.0,01,133,45.0,Claro / Light
83,charlotte tilbury,magic foundation,,1,78.6274509803922,#e1c6b0,1.0,1,24,6.0,Claro / Light
84,sephora collection,matte perfection tinted moisturizer,lace sephora quality way-nice price,1,88.6274509803922,#efded5,1.0,1,113,46.0,Claro / Light
85,la mer,the luminous lifting cushion foundation spf 20 + refill,pink porcelain,01,80.58823529411761,#f0c4ab,1.0,01,68,47.0,Claro / Light
86,bobbi brown,skin weightless powder foundation,warm ivory,1,82.94117647058819,#f2ceb5,1.0,1,20,7.0,Claro / Light
87,kevyn aucoin,foundation balm,light ef,01,83.5294117647059,#f7d1b3,1.0,01,58,48.0,Claro / Light
88,nudestix,nudies tinted blur stick,light,1,79.0196078431373,#e6bead,1.0,1,92,49.0,Claro / Light
89,smashbox,primer + foundation customizable set,smashbox,1,71.9607843137255,#d4a69b,1.0,1,119,12.0,Médio / Medium
90,givenchy,matissime velvet radiant mattifying fluid foundation spf 20,,n01,77.84313725490199,#e0c3ad,1.0,n01,47,8.0,Claro / Light
91,sephora collection,clean glowing skin foundation,,1,79.8039215686275,#ecccab,1.0,1,109,50.0,Claro / Light
92,armani beauty,crema nuda supreme glow reviving tinted moisturizer,nude glow,1,65.8823529411765,#cc9484,1.0,1,6,51.0,Médio / Medium
93,kevyn aucoin,the etherealist foundation,light ef,01,74.3137254901961,#d6b4a5,1.0,01,60,52.0,Médio / Medium
94,surratt beauty,surreal skin foundation wand,surreal skin,1,81.7647058823529,#f5cfac,1.0,1,145,53.0,Claro / Light
95,bareminerals,i am an original get started® kit original loose mineral foundation customizable set,bareminerals,01,70.7843137254902,#ceb29b,1.0,01,136,54.0,Médio / Medium
96,kevyn aucoin,stripped nude skin tint,st,01,87.6470588235294,#fcdbc3,1.0,01,59,55.0,Claro / Light
97,benefit cosmetics,mini hello happy flawless brightening foundation spf 15,,1,87.4509803921569,#fad4c4,1.0,1,17,56.0,Claro / Light
98,smashbox,studio skin 24 hour full coverage waterproof foundation,,1.05,68.8235294117647,#dfae80,1.05,1.05,120,9.0,Médio / Medium
99,smashbox,studio skin 24 hour oil-free hydra foundation,,1.05,81.9607843137255,#f1d1b1,1.05,1.05,121,10.0,Claro / Light
100,smashbox,primer + foundation customizable set,smashbox,1.05,71.7647058823529,#dab694,1.05,1.05,119,12.0,Médio / Medium
101,smashbox,studio skin 24 hour full coverage waterproof foundation,,1.1,64.5098039215686,#d1a378,1.1,1.1,120,9.0,Médio / Medium
102,smashbox,studio skin 24 hour oil-free hydra foundation,,1.1,79.8039215686275,#f0cba7,1.1,1.1,121,10.0,Claro / Light
103,beautyblender,bounce™ liquid whip long wear foundation,neutral,1.10,91.7647058823529,#fcedd8,1.1,1.10,142,35.0,Claro / Light
104,tom ford,traceless soft matte foundation,warm sand,1.1,79.4117647058823,#e2d0b3,1.1,1.1,123,3.0,Claro / Light
105,tom ford,traceless foundation stick,warm sand,1.1,66.07843137254899,#d3aa7e,1.1,1.1,122,5.0,Médio / Medium
106,smashbox,primer + foundation customizable set,smashbox,1.1,81.3725490196078,#e0cdbf,1.1,1.1,119,12.0,Claro / Light
107,smashbox,studio skin 24 hour full coverage waterproof foundation,,1.15,69.0196078431373,#e3aa7d,1.15,1.15,120,9.0,Médio / Medium
108,smashbox,studio skin 24 hour oil-free hydra foundation,,1.15,80.0,#f6c6a2,1.15,1.15,121,10.0,Claro / Light
109,smashbox,primer + foundation customizable set,smashbox,1.15,69.8039215686274,#d0a594,1.15,1.15,119,12.0,Médio / Medium
110,smashbox,studio skin 24 hour full coverage waterproof foundation,,1.2,68.0392156862745,#e0a77b,1.2,1.2,120,9.0,Médio / Medium
111,smashbox,studio skin 24 hour oil-free hydra foundation,,1.2,82.3529411764706,#fcd3a8,1.2,1.2,121,10.0,Claro / Light
112,beautyblender,bounce™ liquid whip long wear foundation,cool,1.20,91.1764705882353,#fbe6d6,1.2,1.20,142,35.0,Claro / Light
113,smashbox,primer + foundation customizable set,smashbox,1.2,72.9411764705882,#d5b49f,1.2,1.2,119,12.0,Médio / Medium
114,beautyblender,bounce™ liquid whip long wear foundation,warm,1.30,85.88235294117649,#f5dbc1,1.3,1.30,142,35.0,Claro / Light
115,tom ford,traceless soft matte foundation,nude ivory,1.3,78.4313725490196,#e2c8ae,1.3,1.3,123,3.0,Claro / Light
116,tom ford,traceless foundation stick,nude ivory,1.3,67.843137254902,#d7a683,1.3,1.3,122,5.0,Médio / Medium
117,beautyblender,bounce™ liquid whip long wear foundation,neutral,1.40,80.58823529411761,#ecccaf,1.4,1.40,142,35.0,Claro / Light
118,tom ford,traceless soft matte foundation,bone,1.4,77.4509803921569,#e2cca9,1.4,1.4,123,3.0,Claro / Light
119,tom ford,traceless foundation stick,bone,1.4,67.05882352941181,#d2a884,1.4,1.4,122,5.0,Médio / Medium
120,nudestix,tinted cover foundation,nude,1.5,88.8235294117647,#f2dbd3,1.5,1.5,93,22.0,Claro / Light
121,bareminerals,complexion rescue hydrating foundation stick broad spectrum spf 25,birch,1.5,83.7254901960784,#fcd0af,1.5,1.5,135,26.0,Claro / Light
122,urban decay cosmetics,all nighter liquid full coverage foundation,,1.5,72.9411764705882,#dab69a,1.5,1.5,126,15.0,Médio / Medium
123,hourglass,veil fluid makeup,nude,no. 1.5,79.8039215686275,#eec5a9,1.5,no. 1.5,50,2.0,Claro / Light
124,beautyblender,bounce™ liquid whip long wear foundation,cool,1.50,79.6078431372549,#f0c3a6,1.5,1.50,142,35.0,Claro / Light
125,bareminerals,complexion rescue™ tinted moisturizer with hyaluronic acid and mineral spf 30,birch,1.5,83.7254901960784,#f5d4b6,1.5,1.5,134,36.0,Claro / Light
126,tom ford,traceless soft matte foundation,cream,1.5,78.4313725490196,#e3c9ad,1.5,1.5,123,3.0,Claro / Light
127,armani beauty,neo nude foundation,,1.5,82.156862745098,#f3cfb0,1.5,1.5,10,4.0,Claro / Light
128,charlotte tilbury,light wonder foundation,,1.5,81.7647058823529,#ead0b7,1.5,1.5,23,43.0,Claro / Light
129,bareminerals,complexion rescue™ hydrating foundation stick with mineral spf 25,birch,1.5,79.0196078431373,#f4c99f,1.5,1.5,133,45.0,Claro / Light
130,tom ford,traceless foundation stick,cream,1.5,74.7058823529412,#ebae92,1.5,1.5,122,5.0,Médio / Medium
131,beautyblender,bounce™ liquid whip long wear foundation,warm,1.60,78.4313725490196,#eec5a2,1.6,1.60,142,35.0,Claro / Light
132,benefit cosmetics,hello happy air stick foundation spf 20,,shade 2,78.2352941176471,#f1cb9e,2.0,shade 2,13,19.0,Claro / Light
133,benefit cosmetics,hello happy flawless brightening foundation spf 15,light warm,shade 2,83.5294117647059,#f7d3b3,2.0,shade 2,14,20.0,Claro / Light
134,benefit cosmetics,hello happy velvet powder foundation,light neutral,shade 2,81.9607843137255,#edd2b5,2.0,shade 2,16,21.0,Claro / Light
135,kvd vegan beauty,true portrait medium coverage shake foundation,light,002,92.7450980392157,#fee7db,2.0,002,63,57.0,Claro / Light
136,nudestix,tinted cover foundation,nude,2,81.7647058823529,#e8c5b9,2.0,2,93,22.0,Claro / Light
137,smashbox,studio skin 24 hour full coverage waterproof foundation,,2.0,66.07843137254899,#dea973,2.0,2.0,120,9.0,Médio / Medium
138,smashbox,studio skin 24 hour oil-free hydra foundation,,2,81.5686274509804,#fccca4,2.0,2,121,10.0,Claro / Light
139,catrice,true skin hydrating foundation,neutral ivory,002,76.2745098039216,#eebf97,2.0,002,22,58.0,Claro / Light
140,bareminerals,matte foundation broad spectrum spf 15,fair ivory,02,83.1372549019608,#fcccac,2.0,02,137,23.0,Claro / Light
141,makeup revolution,fast base stick foundation,,f2,75.0980392156863,#e0c79f,2.0,f2,87,24.0,Claro / Light
142,bareminerals,original foundation broad spectrum spf 15,fair ivory,02,83.1372549019608,#fcccac,2.0,02,139,25.0,Claro / Light
143,bareminerals,barepro performance wear powder foundation,ivory,2,83.7254901960784,#fdcfae,2.0,2,131,14.0,Claro / Light
144,clinique,almost powder makeup,neutral fair,02,95.0980392156863,#f4f3f1,2.0,02,26,,Claro / Light
145,clinique,beyond perfecting powder foundation + concealer,alabaster,02,71.9607843137255,#e3b58c,2.0,02,28,,Médio / Medium
146,bareminerals,complexion rescue hydrating foundation stick broad spectrum spf 25,vanilla,02,74.7058823529412,#eeb38f,2.0,02,135,26.0,Médio / Medium
147,makeup revolution,conceal & hydrate foundation,,f2,80.7843137254902,#e9cab3,2.0,f2,86,27.0,Claro / Light
148,makeup revolution,conceal & define full coverage foundation,,f2,82.156862745098,#f4d2af,2.0,f2,83,1.0,Claro / Light
149,makeup revolution,conceal & glow foundation,,f2,82.54901960784309,#f1cdb4,2.0,f2,85,28.0,Claro / Light
150,pacifica,alight clean foundation,neutral deep,02nd,33.1372549019608,#834626,2.0,02nd,100,29.0,Escuro / Dark
151,jane iredale,beyond matte liquid foundation,,m2,75.49019607843141,#f1b990,2.0,m2,144,30.0,Claro / Light
152,clinique,beyond perfecting foundation + concealer,breeze,cn 02,91.7647058823529,#feead6,2.0,cn 02,27,,Claro / Light
153,urban decay cosmetics,all nighter liquid full coverage foundation,,2.0,75.6862745098039,#e5bd9d,2.0,2.0,126,15.0,Claro / Light
154,bareminerals,barepro performance wear liquid foundation broad spectrum spf 20,ivory,2,83.7254901960784,#fdcfae,2.0,2,130,16.0,Claro / Light
155,clinique,even better glow light reflecting makeup broad spectrum spf 15,breeze,cn 02,80.1960784313726,#f1c5a8,2.0,cn 02,29,,Claro / Light
156,physicians formula,the healthy foundation spf 20,,dpw2,29.0196078431373,#704324,2.0,dpw2,101,31.0,Retinto / Deep
157,bareminerals,original liquid mineral foundation broad spectrum spf 20,fair ivory,02,80.7843137254902,#fdcb9f,2.0,02,140,32.0,Claro / Light
158,lorac,pro soft focus longwear foundation,,02,70.7843137254902,#d6b093,2.0,02,67,33.0,Médio / Medium
159,hourglass,veil fluid makeup,light beige,no. 2,72.3529411764706,#e2b08f,2.0,no. 2,50,2.0,Médio / Medium
160,catrice,hd liquid coverage foundation,porcelain beige,002,75.8823529411765,#e6c39d,2.0,002,21,59.0,Claro / Light
161,ilia,super serum skin tint spf 40 foundation,tulum,2,86.078431372549,#f3d8c4,2.0,2,53,34.0,Claro / Light
162,bareminerals,complexion rescue™ tinted moisturizer with hyaluronic acid and mineral spf 30,vanilla,02,77.4509803921569,#dcbbaf,2.0,02,134,36.0,Claro / Light
163,sephora collection,matte perfection powder foundation,porcelain neutral,02,80.58823529411761,#e3c6b8,2.0,02,112,60.0,Claro / Light
164,bareminerals,barepro longwear powder foundation,ivory,02,87.25490196078431,#fdd9c0,2.0,02,129,17.0,Claro / Light
165,pat mcgrath labs,sublime perfection foundation,light,2,88.4313725490196,#f6dccd,2.0,2,99,37.0,Claro / Light
166,bareminerals,barepro™ 24 hour longwear liquid foundation with mineral spf 20,ivory,02,88.0392156862745,#fdddc4,2.0,02,132,18.0,Claro / Light
167,bareminerals,matte loose powder mineral foundation spf 15,fair ivory,02,66.4705882352941,#d09b83,2.0,02,138,38.0,Médio / Medium
168,sephora collection,make no mistake foundation & concealer stick,birch,2,79.4117647058823,#e4c3b1,2.0,2,110,39.0,Claro / Light
169,laura mercier,smooth finish foundation powder,,2,84.1176470588235,#f9d0b4,2.0,2,76,40.0,Claro / Light
170,kosas,tinted face oil foundation,tone,02,85.2941176470588,#f3d8c0,2.0,02,65,41.0,Claro / Light
171,tom ford,traceless soft matte foundation,buff,2.0,78.2352941176471,#e3c7ac,2.0,2.0,123,3.0,Claro / Light
172,armani beauty,neo nude foundation,,2,79.2156862745098,#ecc5a8,2.0,2,10,4.0,Claro / Light
173,armani beauty,power fabric longwear high cover foundation spf 25,,2,69.6078431372549,#d1ae92,2.0,2,11,42.0,Médio / Medium
174,charlotte tilbury,light wonder foundation,fair,2,78.82352941176471,#e0c5b2,2.0,2,23,43.0,Claro / Light
175,lancôme,skin feels good skin nourishing foundation,,02c,67.6470588235294,#d0a289,2.0,02c,73,44.0,Médio / Medium
176,bareminerals,complexion rescue™ hydrating foundation stick with mineral spf 25,vanilla,02,78.2352941176471,#efc3a0,2.0,02,133,45.0,Claro / Light
177,tom ford,traceless foundation stick,buff,2.0,78.4313725490196,#f3c29d,2.0,2.0,122,5.0,Claro / Light
178,charlotte tilbury,magic foundation,,2,78.2352941176471,#dec2b1,2.0,2,24,6.0,Claro / Light
179,sephora collection,matte perfection tinted moisturizer,silk sephora quality way-nice price,2,87.0588235294118,#f5d6c7,2.0,2,113,46.0,Claro / Light
180,bobbi brown,skin weightless powder foundation,sand,2,76.8627450980392,#e7c3a1,2.0,2,20,7.0,Claro / Light
181,armani beauty,luminous silk compact powder foundation,,2,80.0,#e7c8b1,2.0,2,8,61.0,Claro / Light
182,armani beauty,designer lift smoothing firming full coverage foundation with spf 20,,2,72.7450980392157,#e4b98f,2.0,2,7,62.0,Médio / Medium
183,kevyn aucoin,foundation balm,light ef,02,82.7450980392157,#f6d2b0,2.0,02,58,48.0,Claro / Light
184,nudestix,nudies tinted blur stick,light,2,74.7058823529412,#e1b19c,2.0,2,92,49.0,Médio / Medium
185,koh gen do,aqua foundation,,2,80.7843137254902,#ebc7b1,2.0,2,64,63.0,Claro / Light
186,smashbox,primer + foundation customizable set,smashbox,2,73.3333333333333,#e7b48f,2.0,2,119,12.0,Médio / Medium
187,givenchy,matissime velvet radiant mattifying fluid foundation spf 20,,n02,81.1764705882353,#e8c1b6,2.0,n02,47,8.0,Claro / Light
188,armani beauty,crema nuda supreme glow reviving tinted moisturizer,light glow,2,63.3333333333333,#c88c7b,2.0,2,6,51.0,Médio / Medium
189,kevyn aucoin,the etherealist foundation,light ef,02,71.9607843137255,#d2b49d,2.0,02,60,52.0,Médio / Medium
190,surratt beauty,surreal skin foundation wand,surreal skin,2,79.0196078431373,#f2c3a1,2.0,2,145,53.0,Claro / Light
191,bareminerals,i am an original get started® kit original loose mineral foundation customizable set,bareminerals,02,80.1960784313726,#eccead,2.0,02,136,54.0,Claro / Light
192,kevyn aucoin,stripped nude skin tint,st,02,82.156862745098,#f2d3b1,2.0,02,59,55.0,Claro / Light
193,armani beauty,maestro fusion makeup spf 15 liquid foundation,,2,70.0,#d8b28d,2.0,2,9,64.0,Médio / Medium
194,smashbox,studio skin 24 hour full coverage waterproof foundation,,2.1,67.05882352941181,#dda779,2.1,2.1,120,9.0,Médio / Medium
195,smashbox,studio skin 24 hour oil-free hydra foundation,,2.1,80.1960784313726,#fcc69d,2.1,2.1,121,10.0,Claro / Light
196,beautyblender,bounce™ liquid whip long wear foundation,cool,2.10,77.4509803921569,#e3c2a8,2.1,2.10,142,35.0,Claro / Light
197,smashbox,primer + foundation customizable set,smashbox,2.1,76.2745098039216,#dbc0aa,2.1,2.1,119,12.0,Claro / Light
198,smashbox,studio skin 24 hour full coverage waterproof foundation,,2.12,66.8627450980392,#dca879,2.12,2.12,120,9.0,Médio / Medium
199,smashbox,studio skin 24 hour oil-free hydra foundation,,2.12,79.0196078431373,#f8c79b,2.12,2.12,121,10.0,Claro / Light
200,smashbox,primer + foundation customizable set,smashbox,2.12,66.8627450980392,#d9a27c,2.12,2.12,119,12.0,Médio / Medium
201,smashbox,studio skin 24 hour full coverage waterproof foundation,,2.15,64.7058823529412,#d59e75,2.15,2.15,120,9.0,Médio / Medium
202,smashbox,studio skin 24 hour oil-free hydra foundation,,2.15,79.6078431372549,#f3c0a3,2.15,2.15,121,10.0,Claro / Light
203,smashbox,primer + foundation customizable set,smashbox,2.15,67.45098039215691,#c89e90,2.15,2.15,119,12.0,Médio / Medium
204,smashbox,studio skin 24 hour full coverage waterproof foundation,,2.16,63.1372549019608,#d39d6f,2.16,2.16,120,9.0,Médio / Medium
205,smashbox,studio skin 24 hour oil-free hydra foundation,,2.16,79.4117647058823,#fcc599,2.16,2.16,121,10.0,Claro / Light
206,smashbox,primer + foundation customizable set,smashbox,2.16,68.6274509803922,#e0a27e,2.16,2.16,119,12.0,Médio / Medium
207,smashbox,studio skin 24 hour full coverage waterproof foundation,,2.18,62.156862745097996,#cb9c72,2.18,2.18,120,9.0,Médio / Medium
208,smashbox,studio skin 24 hour oil-free hydra foundation,,2.18,78.0392156862745,#f6c298,2.18,2.18,121,10.0,Claro / Light
209,smashbox,primer + foundation customizable set,smashbox,2.18,66.6666666666667,#d79b7d,2.18,2.18,119,12.0,Médio / Medium
210,smashbox,studio skin 24 hour full coverage waterproof foundation,,2.2,62.9411764705882,#d29e6f,2.2,2.2,120,9.0,Médio / Medium
211,smashbox,studio skin 24 hour oil-free hydra foundation,,2.2,76.4705882352941,#f9c28d,2.2,2.2,121,10.0,Claro / Light
212,beautyblender,bounce™ liquid whip long wear foundation,neutral/olive,2.20,76.6666666666667,#ecc49b,2.2,2.20,142,35.0,Claro / Light
213,smashbox,primer + foundation customizable set,smashbox,2.2,72.15686274509801,#d4b59c,2.2,2.2,119,12.0,Médio / Medium
