id_registro,marca,linha,id_produto_marca,nome_tom,subtom,categoria_tom_marca,codigo_hex,rgb_r,rgb_g,rgb_b,luminosidade_relativa,luminosidade_pct,grupo_luminosidade,peso_volume,unidade,cobertura,acabamento,textura,tipo_pele,vegano,cruelty_free,fps,ativo_destaque,tipo_hex,fonte_oficial,fonte_swatch,imagem_swatch_url,data_coleta,status_qualidade,observacao_metodologica,fase_coleta,versao_regua
11,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 200,Não informado pela fonte consultada,Régua 24 tons,#A88164,168,129,100,"0,5302","53,02",Médio,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
12,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 210,Não informado pela fonte consultada,Régua 24 tons,#AD7E5C,173,126,92,"0,5237","52,37",Escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
13,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 220,Não informado pela fonte consultada,Régua 24 tons,#A17559,161,117,89,"0,4876","48,76",Escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
14,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 230,Não informado pela fonte consultada,Régua 24 tons,#AA7654,170,118,84,"0,4965","49,65",Escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
15,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 240,Não informado pela fonte consultada,Régua 24 tons,#986547,152,101,71,"0,4301","43,01",Escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
16,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 250,Não informado pela fonte consultada,Régua 24 tons,#A26A45,162,106,69,"0,4519","45,19",Escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
17,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 260,Não informado pela fonte consultada,Régua 24 tons,#A06E4C,160,110,76,"0,4634","46,34",Escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
18,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 270,Não informado pela fonte consultada,Régua 24 tons,#A56C42,165,108,66,"0,4592","45,92",Escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
19,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 280,Não informado pela fonte consultada,Régua 24 tons,#985F36,152,95,54,"0,4085","40,85",Escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
20,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 290,Não informado pela fonte consultada,Régua 24 tons,#7A4520,122,69,32,"0,3043","30,43",Muito escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
21,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 300,Não informado pela fonte consultada,Régua 24 tons,#60351F,96,53,31,"0,2375","23,75",Muito escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
22,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 310,Não informado pela fonte consultada,Régua 24 tons,#6E3919,110,57,25,"0,2587","25,87",Muito escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
23,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 320,Não informado pela fonte consultada,Régua 24 tons,#602F17,96,47,23,"0,2184","21,84",Muito escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
24,O Boticário,Make B. Mate Salicylic,Base Líquida Mate Salicylic 30g,Cor 330,Não informado pela fonte consultada,Régua 24 tons,#3D1F11,61,31,17,"0,1426","14,26",Muito escuro,"30,00",g,Média,Matte,Líquida,Oleosa,Não informado pela fonte consultada,Sim,Não informado pela fonte consultada,Ácido salicílico,Amostral digital — cartela visual,https://www.boticario.com.br/base-liquida-cor-330-make-b-mate-salicylic-30g/,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,https://http2.mlstatic.com/D_NQ_NP_832018-MLU72536593794_102023-O.webp,2026-08-10,Validado sem nulos; RGB/HEX derivados de swatch digital,Registro preservado da Fase 1. HEX é proxy visual digital.,Fase 1,Régua 24 tons
25,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR01,Rosado Quente,BR01–BR50,#F7E2CE,247,226,206,"0,8981","89,81",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
26,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR02,Amarelado Neutro,BR01–BR50,#F1D7B4,241,215,180,"0,8549","85,49",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
27,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR03,Rosado Frio,BR01–BR50,#EDDBC9,237,219,201,"0,8687","86,87",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
28,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR04,Amarelo Quente,BR01–BR50,#F1D7B4,241,215,180,"0,8549","85,49",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
29,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR05,Rosado Neutro,BR01–BR50,#EED5C2,238,213,194,"0,8508","85,08",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
30,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR06,Rosado Quente,BR01–BR50,#F1D2BD,241,210,189,"0,8434","84,34",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
31,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR07,Oliva Neutro,BR01–BR50,#E7CBA7,231,203,167,"0,8092","80,92",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
32,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR08,Rosado Quente,BR01–BR50,#E7C7AB,231,199,171,"0,7991","79,91",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
33,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR09,Rosado Neutro,BR01–BR50,#E9C8AB,233,200,171,"0,8036","80,36",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
34,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR10,Oliva Quente,BR01–BR50,#E7CAA2,231,202,162,"0,8050","80,50",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
35,Boca Rosa,Boca Rosa Beauty,Stick Pele Multifuncional,BR11,Rosado Neutro,BR01–BR50,#E2C1A9,226,193,169,"0,7776","77,76",Muito claro,"12,00",g,Média a alta,Glow natural,Cremosa,Todos os tipos de pele,Sim,Sim,FPS 30 UVA/UVB,Vitamina E,Amostral digital — cartela visual,https://bocarosa.com.br/products/stick-pele,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,https://images.tcdn.com.br/img/img_prod/929629/stick_pele_multifuncional_boca_rosa_2277_3_ad044ae18d570cf3e0b4f05122e58dd3.jpg,2026-08-10,Nome/subtom oficial; RGB/HEX por amostragem digital da cartela,Cor medida na representação digital; pode variar do produto físico.,Fase 2,50 tons
